id;user_id;nickname;language;follow;created_by;created_date;last_modified_by;last_modified_date
1;Assistant;Generic heuristic;program orchid Investment Account;false;Rustic Team-oriented firmware;2020-07-01T14:32:30;mission-critical auxiliary;2020-07-02T05:44:20
2;Principal sky blue;generate Hong Kong alarm;multi-byte;true;Chile dedicated;2020-07-02T02:11:23;synthesize mobile;2020-07-02T04:15:50
3;Soft Villages fuchsia;partnerships Progressive copying;Handcrafted;true;Awesome Steel Tuna;2020-07-01T21:50:59;invoice secondary database;2020-07-02T01:25:37
4;Tennessee deposit transmit;Ford;primary;false;Yuan Renminbi Algerian Dinar;2020-07-01T18:03:56;synthesize multi-tasking calculate;2020-07-01T22:48:42
5;Electronics;Cheese benchmark quantifying;Games invoice Pine;true;Rhode Island Court;2020-07-01T16:04:02;FTP Rustic;2020-07-02T03:54:55
6;application;hacking;Hat relationships;false;fuchsia Robust;2020-07-02T04:05:37;Ports Outdoors Horizontal;2020-07-01T12:53:53
7;Home Loan Account Cliff UIC-Franc;Dam redefine Rubber;Centralized Cotton functionalities;false;maroon;2020-07-01T10:15:47;Practical Frozen Shoes transmitting Virtual;2020-07-01T19:50:08
8;Ball invoice;Savings Account;Equatorial Guinea Fall compressing;true;intuitive Electronics real-time;2020-07-02T06:08:39;Manat;2020-07-02T01:49:52
9;Checking Account overriding Analyst;Tala backing up Personal Loan Account;Egypt;true;Mississippi Serbian Dinar Cambridgeshire;2020-07-01T11:06:54;New Leu Licensed haptic;2020-07-01T22:34:18
10;withdrawal Cambridgeshire Brand;RAM;Global Shirt quantify;false;Maine bypass embrace;2020-07-01T10:32:33;knowledge user optical mindshare;2020-07-01T15:20:00
