id;transaction_id;title;pay_state;delivery_state;paid_date;delivery_date;amount;currency;created_by;created_date;last_modified_by;last_modified_date
1;68944;Gloves;ORDERED;DELIVERED;2020-07-06T11:30:18;2020-07-06T10:39:51;27706;deposit;Realigned Chicken;2020-07-06T22:44:48;Money Market Account Branding Lead;2020-07-07T04:34:41
2;76085;visualize Shores HDD;PAID;PREPARING;2020-07-06T06:08:07;2020-07-06T10:07:28;85432;zero administration Sausages Front-line;wireless Re-engineered;2020-07-06T23:02:01;engineer encoding Mission;2020-07-06T13:57:20
3;11633;Plastic;PAYING;PREPARING;2020-07-06T15:18:55;2020-07-06T15:15:00;34001;wireless Realigned mint green;utilisation Liaison deliverables;2020-07-06T12:29:25;Branding Movies calculating;2020-07-07T02:39:03
4;28704;SQL;ORDERED;READY;2020-07-06T22:47:54;2020-07-07T03:41:48;87140;SDD;withdrawal viral;2020-07-06T23:24:48;Agent Integration Gorgeous;2020-07-07T00:41:06
5;33658;back up web-enabled Operations;PAID;DELIVERED;2020-07-06T13:08:47;2020-07-07T04:51:34;89984;Handmade Wooden Chair indexing;transmit;2020-07-06T06:37:17;Island;2020-07-07T00:41:17
6;47296;Sleek Credit Card Account Washington;PAYING;PREPARING;2020-07-06T07:07:49;2020-07-06T11:27:11;75155;Fantastic;Cambridgeshire Tuvalu Michigan;2020-07-06T07:18:19;cyan Investment Account Intranet;2020-07-07T01:10:22
7;23209;Court;PAYING;DELIVERED;2020-07-06T16:54:59;2020-07-06T10:03:38;32668;Savings Account;New York PCI;2020-07-06T18:04:46;green;2020-07-06T05:46:26
8;86188;out-of-the-box Alabama collaboration;ORDERED;PREPARING;2020-07-06T13:44:07;2020-07-06T19:10:04;91826;indexing Licensed Concrete Keyboard;program capacitor Buckinghamshire;2020-07-06T07:25:30;engineer Gorgeous;2020-07-06T10:36:06
9;71484;Squares;PAID;DELIVERED;2020-07-06T14:52:33;2020-07-07T02:13:20;62357;Togo Ergonomic Frozen Gloves global;redefine moratorium;2020-07-06T23:06:34;Computers Handmade Granite Fish;2020-07-06T17:28:52
10;47042;Rwanda Franc;PAYING;PREPARING;2020-07-06T20:35:08;2020-07-06T16:58:31;83326;Future Algerian Dinar;neural-net synergize Saint Kitts and Nevis;2020-07-06T21:24:34;National East Caribbean Dollar input;2020-07-07T00:25:39
